الجذر,الحرف الأول للجذر,الحرف الثاني للجذر,الحرف الثالث للجذر,فعَل يفعُل,فعَل يفعِل,فعَل يفعَل,فعِل يفعَل,فعُل يفعُل,فعِل يفعِل
عصل,ع,ص,ل,ك,,,ل,,
عصم,ع,ص,م,,ك,,ل,,
عصو,ع,ص,و,ك,,,ل,,
عصي,ع,ص,ي,,ك,,,,
عضب,ع,ض,ب,,ك,,ل,ل,
عضد,ع,ض,د,م,ك,,ل,,
عضر,ع,ض,ر,ل,,,,,
عضض,ع,ض,ض,,,,ك,,
عضل,ع,ض,ل,ك,م,,ل,,
عضه,ع,ض,ه,,,ك,ل,,
عضو,ع,ض,و,م,,,,,
عطب,ع,ط,ب,ل,,,ل,,
عطر,ع,ط,ر,,,,ل,,
عطس,ع,ط,س,ل,ل,,,,
عطش,ع,ط,ش,,,,ل,,
عطط,ع,ط,ط,م,,,,,
عطف,ع,ط,ف,,ك,,,,
عطل,ع,ط,ل,,,,ل,,
عطن,ع,ط,ن,ك,ك,,ل,,
عطو,ع,ط,و,ك,,,,,
عظب,ع,ظ,ب,,ل,,ل,,
عظر,ع,ظ,ر,,م,,ك,,
عظظ,ع,ظ,ظ,م,,,,,
عظل,ع,ظ,ل,ل,,,ل,,
عظم,ع,ظ,م,م,,,,ل,
عظو,ع,ظ,و,م,,,,,
عظي,ع,ظ,ي,,ك,,ل,,
عفت,ع,ف,ت,,م,,ل,,
عفج,ع,ف,ج,,م,,ل,,
عفد,ع,ف,د,,ل,,,,
عفر,ع,ف,ر,,ك,,ل,,
عفس,ع,ف,س,,م,,,,
عفش,ع,ف,ش,,م,,,,
عفص,ع,ف,ص,,م,,ل,,
عفط,ع,ف,ط,,ل,,,,
عفف,ع,ف,ف,,ك,,,,
عفق,ع,ف,ق,,ك,,,,
عفك,ع,ف,ك,,م,,ل,,
عفل,ع,ف,ل,م,,,ل,,
عفن,ع,ف,ن,,م,,ل,,
عفه,ع,ف,ه,,,ل,,,
عفو,ع,ف,و,ك,,,,,
عقب,ع,ق,ب,ك,م,,ك,,
عقد,ع,ق,د,,ك,,ل,,
عقر,ع,ق,ر,,ك,,ل,ل,
عقص,ع,ق,ص,,م,,ل,,
عقف,ع,ق,ف,,ك,,,,
عقق,ع,ق,ق,ك,ل,,,,
عقل,ع,ق,ل,ك,ك,,ل,,
عقم,ع,ق,م,ك,م,,ل,ل,
عقو,ع,ق,و,ك,,,,,
عقي,ع,ق,ي,,ك,,,,
عكب,ع,ك,ب,ل,,,ل,,
عكد,ع,ك,د,,ك,,ل,,
عكر,ع,ك,ر,ل,,,ل,,
عكز,ع,ك,ز,ك,,,ل,,
عكس,ع,ك,س,,ك,,,,
عكش,ع,ك,ش,,ك,,ل,,
عكص,ع,ك,ص,,م,,ل,,
عكظ,ع,ك,ظ,,ك,,,,
عكف,ع,ك,ف,ك,ك,,,,
عكك,ع,ك,ك,ك,ل,,,,
عكل,ع,ك,ل,ك,ك,,ل,,
عكم,ع,ك,م,,ك,,,,
عكو,ع,ك,و,ك,,,,,
عكي,ع,ك,ي,,ك,,,,
علب,ع,ل,ب,ك,م,,ل,,
علث,ع,ل,ث,,ك,,ل,,
علج,ع,ل,ج,ك,,,ل,,
علد,ع,ل,د,,,,ل,,
علز,ع,ل,ز,,,,ل,,
علس,ع,ل,س,,ك,,,,
علض,ع,ل,ض,,م,,,,
علط,ع,ل,ط,م,م,,,,
علف,ع,ل,ف,,ك,,,,
علق,ع,ل,ق,ك,,,ك,,
علك,ع,ل,ك,م,م,,,,
علل,ع,ل,ل,ك,ك,,,,
علم,ع,ل,م,م,م,,ك,,
علن,ع,ل,ن,ل,ل,,ل,,
عله,ع,ل,ه,,,,ل,,
علو,ع,ل,و,ك,,,ك,,
علي,ع,ل,ي,,ك,,,,
عمت,ع,م,ت,,ك,,,,
عمج,ع,م,ج,,ل,,,,
عمد,ع,م,د,,ك,,ل,,
عمر,ع,م,ر,ك,ك,,ل,ل,
عمس,ع,م,س,ك,م,,ل,ل,
عمش,ع,م,ش,,م,,ل,,
عمط,ع,م,ط,م,,,,,
عمق,ع,م,ق,,,,ل,ل,
عمل,ع,م,ل,,,,ك,,
عمم,ع,م,م,ك,,,,,
عمن,ع,م,ن,,ل,,ل,,
عمه,ع,م,ه,,,ل,ل,,
عمي,ع,م,ي,,ل,,ل,,
عنت,ع,ن,ت,,,,ل,,
عنج,ع,ن,ج,ك,ك,,,,
عند,ع,ن,د,ك,ل,,ل,ل,
عنز,ع,ن,ز,ك,,,,,
عنس,ع,ن,س,ك,ك,,ل,,
عنش,ع,ن,ش,ك,ك,,,,
عنف,ع,ن,ف,,,,,ل,
عنق,ع,ن,ق,م,,,ل,,
عنك,ع,ن,ك,ك,,,,,
عنن,ع,ن,ن,ك,ك,,,,
عنو,ع,ن,و,ك,,,,,
عني,ع,ن,ي,,ك,,ك,,
عهب,ع,ه,ب,,,,م,,
عهد,ع,ه,د,,,,ك,,
عهر,ع,ه,ر,,,ك,,,
عهن,ع,ه,ن,ك,ك,,,,
عوث,ع,و,ث,م,,,,,
عوج,ع,و,ج,ك,,,ل,,
عود,ع,و,د,ك,,,,,
عوذ,ع,و,ذ,ل,,,,,
عور,ع,و,ر,ك,,,ك,,
عوز,ع,و,ز,ك,,,ل,,
عوس,ع,و,س,ك,,,ل,,
عوص,ع,و,ص,,,,ل,,
عوض,ع,و,ض,م,,,,,
عوط,ع,و,ط,ل,,,,,
عوف,ع,و,ف,ك,,,,,
عوق,ع,و,ق,م,,,,,
عوك,ع,و,ك,ك,,,,,
عول,ع,و,ل,ك,,,,,
عوم,ع,و,م,ل,,,,,
عون,ع,و,ن,ل,,,,,
عوه,ع,و,ه,ل,,,,,
عوي,ع,و,ي,,ك,,,,
عيب,ع,ي,ب,,ك,,,,
عيث,ع,ي,ث,,ك,,,,
عيج,ع,ي,ج,,ل,,,,
عير,ع,ي,ر,,ك,,,,
عيس,ع,ي,س,,ك,,,,
عيش,ع,ي,ش,,ل,,,,
عيط,ع,ي,ط,,ل,,ل,,
عيف,ع,ي,ف,,ك,,م,,
عيق,ع,ي,ق,,م,,,,
عيك,ع,ي,ك,,ل,,,,
عيل,ع,ي,ل,,ك,,,,
عيم,ع,ي,م,,ل,,ل,,
عين,ع,ي,ن,,ك,,ل,,
عيه,ع,ي,ه,,ل,,,,
عيي,ع,ي,ي,,,,ك,,
غبأ,غ,ب,أ,,,ل,,,
غبب,غ,ب,ب,ك,ك,,,,
غبث,غ,ب,ث,,ك,,ل,,
غبج,غ,ب,ج,,,,م,,
غبر,غ,ب,ر,ل,,,ل,,
غبس,غ,ب,س,ل,,,ل,,
غبش,غ,ب,ش,,م,,ل,,
غبص,غ,ب,ص,,,,ل,,
غبط,غ,ب,ط,,م,,م,,
غبق,غ,ب,ق,م,م,,,,
غبن,غ,ب,ن,م,م,,ك,,
غبو,غ,ب,و,,,,ك,,
غتت,غ,ت,ت,ك,,,,,
غتل,غ,ت,ل,,,,ل,,
غتم,غ,ت,م,ل,,,ل,,
غثث,غ,ث,ث,,ل,,ل,,
غثر,غ,ث,ر,ل,,,ل,,
غثم,غ,ث,م,ك,,,ل,,
غثو,غ,ث,و,ك,,,,,
غثي,غ,ث,ي,,ك,,ل,,
غدد,غ,د,د,ل,,,,,
غدر,غ,د,ر,ك,ك,,ل,,
غدف,غ,د,ف,ل,,,,,
غدق,غ,د,ق,,ل,,ل,,
غدن,غ,د,ن,,,,ل,,
غدو,غ,د,و,ك,,,ل,,
غذذ,غ,ذ,ذ,ك,ك,,,,
غذم,غ,ذ,م,ك,,,ك,,
غذو,غ,ذ,و,ك,,,,,
غرب,غ,ر,ب,ل,,,ل,ل,
غرث,غ,ر,ث,,,,ل,,
غرد,غ,ر,د,,,,ل,,
غرر,غ,ر,ر,ك,ل,,ل,,
غرز,غ,ر,ز,,ك,,ل,,
غرس,غ,ر,س,,م,,,,
غرض,غ,ر,ض,,ك,,ل,ل,
غرف,غ,ر,ف,م,م,,ل,,
غرق,غ,ر,ق,,,,ل,,
غرل,غ,ر,ل,,,,ل,,
غرم,غ,ر,م,,,,ك,,
غرن,غ,ر,ن,,,,ل,,
غرو,غ,ر,و,ك,,,ل,,
غري,غ,ر,ي,,م,,,,
غزر,غ,ز,ر,,,,,ل,
غزز,غ,ز,ز,ك,,,,,
غزل,غ,ز,ل,,م,,ل,,
غزو,غ,ز,و,ك,,,,,
غسر,غ,س,ر,ك,,,,,
غسس,غ,س,س,ك,,,,,
غسق,غ,س,ق,,ل,,ل,,
غسل,غ,س,ل,,ك,,,,
غسم,غ,س,م,ل,,,,,
غسن,غ,س,ن,م,,,,,
غسو,غ,س,و,ل,,,,,
غسي,غ,س,ي,,,,ل,,
غشش,غ,ش,ش,م,ل,,,,
غشم,غ,ش,م,ل,ك,,,,
غشو,غ,ش,و,م,,,ك,,
غشي,غ,ش,ي,,,,ك,,
غصب,غ,ص,ب,,م,,,,
غصص,غ,ص,ص,ك,,,ل,,
غصن,غ,ص,ن,,م,,,,
غضب,غ,ض,ب,,,,ل,,
غضر,غ,ض,ر,ك,ك,,ك,ل,
غضض,غ,ض,ض,ك,ل,,ل,,
غضف,غ,ض,ف,,ك,,ل,,
غضن,غ,ض,ن,ك,ك,,ل,,
غضو,غ,ض,و,ل,,,,,
غضي,غ,ض,ي,,,,ل,,
غطس,غ,ط,س,,ك,,,,
غطش,غ,ط,ش,,ل,,ل,,
غطط,غ,ط,ط,م,ك,,,,
غطف,غ,ط,ف,,,,ل,,
غطل,غ,ط,ل,ل,,,ل,,
غطو,غ,ط,و,ك,,,,,
غطي,غ,ط,ي,,ك,,,,
غفر,غ,ف,ر,,ك,,ل,,
غفق,غ,ف,ق,,ك,,,,
غفل,غ,ف,ل,ك,,,,,
غفو,غ,ف,و,ل,,,,,
غفي,غ,ف,ي,,م,,ل,,
غقق,غ,ق,ق,,ل,,,,
غلب,غ,ل,ب,,ك,,ل,,
غلت,غ,ل,ت,م,,,ل,,
غلث,غ,ل,ث,,م,,ل,,
غلج,غ,ل,ج,,ل,,,,
غلط,غ,ل,ط,,,,ل,,
غلظ,غ,ل,ظ,,ل,,,ل,
غلف,غ,ل,ف,م,,,ل,,
غلق,غ,ل,ق,,م,,ل,,
غلل,غ,ل,ل,ك,ل,,ك,,
غلم,غ,ل,م,م,,,ل,,
غلن,غ,ل,ن,ل,,,,,
غلو,غ,ل,و,ل,,,,,
غلي,غ,ل,ي,,ل,,ل,,
غمت,غ,م,ت,,م,,ل,,
غمج,غ,م,ج,,م,,م,,
غمد,غ,م,د,ك,م,,ل,,
غمر,غ,م,ر,ك,,,ل,ل,
غمز,غ,م,ز,,ك,,,,
غمس,غ,م,س,,ك,,,,
غمش,غ,م,ش,,,,ل,,
غمص,غ,م,ص,,م,,م,,
غمض,غ,م,ض,ل,ل,,,ل,
غمط,غ,م,ط,,م,,م,,
غمق,غ,م,ق,ل,,,ل,ل,
غمل,غ,م,ل,ك,,,ل,,
غمم,غ,م,م,ك,,,ل,,
غمن,غ,م,ن,ك,,,,,
غمو,غ,م,و,م,,,,,
غمي,غ,م,ي,,م,,,,
غنث,غ,ن,ث,,ك,,ل,,
غنج,غ,ن,ج,,,,ل,,
غنص,غ,ن,ص,,,,ل,,
غنض,غ,ن,ض,,م,,,,
غنظ,غ,ن,ظ,,م,,,,
غنم,غ,ن,م,,,,ك,,
غنن,غ,ن,ن,,,,ل,,
غني,غ,ن,ي,,,,ل,,
غهب,غ,ه,ب,,,,ل,,
غوث,غ,و,ث,م,,,,,
غوج,غ,و,ج,ل,,,,,
غور,غ,و,ر,ك,,,,,
غوز,غ,و,ز,م,,,,,
غوص,غ,و,ص,ل,,,,,
غوط,غ,و,ط,ك,,,,,
غول,غ,و,ل,م,,,,,
غوو,غ,و,و,,,,ل,,
غيب,غ,ي,ب,,ك,,,,
غيث,غ,ي,ث,,ك,,,,
غيد,غ,ي,د,,,,ل,,
غير,غ,ي,ر,,ك,,ل,,
غيس,غ,ي,س,,,,ل,,
غيض,غ,ي,ض,,ك,,,,
غيط,غ,ي,ط,,ل,,,,
غيظ,غ,ي,ظ,,م,,,,
غيف,غ,ي,ف,,ل,,,,
غيل,غ,ي,ل,,م,,,,
غيم,غ,ي,م,,ل,,,,
غين,غ,ي,ن,,ل,,ل,,
فأد,ف,أ,د,,,ك,ل,,
فأر,ف,أ,ر,,,ك,,,
فأس,ف,أ,س,,,م,,,
فأق,ف,أ,ق,,,ل,ل,,
فأم,ف,أ,م,,,ل,,,
فأو,ف,أ,و,م,,,,,
فأي,ف,أ,ي,,,م,,,
فتأ,ف,ت,أ,,,م,ل,,
فتت,ف,ت,ت,ك,,,,,
فتح,ف,ت,ح,,,ك,,,
فتخ,ف,ت,خ,,,م,ل,,
فتر,ف,ت,ر,ك,ك,,,,
فتش,ف,ت,ش,,ك,,,,
فتغ,ف,ت,غ,,,م,,,
فتق,ف,ت,ق,ك,ك,,ل,,
فتك,ف,ت,ك,ك,ك,,,,
فتل,ف,ت,ل,,ك,,ل,,
فتن,ف,ت,ن,,ك,,,,
فتو,ف,ت,و,م,,,,ل,
فتي,ف,ت,ي,,,,ل,,
فثأ,ف,ث,أ,,,ك,ل,,
فثث,ف,ث,ث,م,,,,,
فثج,ف,ث,ج,ك,,,,,
فثغ,ف,ث,غ,,,م,,,
فجأ,ف,ج,أ,,,م,ك,,
فجج,ف,ج,ج,ك,,,ل,,
فجر,ف,ج,ر,ك,,,,,
فجس,ف,ج,س,ك,,,,,
فجش,ف,ج,ش,م,,,,,
فجع,ف,ج,ع,,,م,,,
فجل,ف,ج,ل,ل,,,ل,,
فجم,ف,ج,م,,,,ل,,
فجو,ف,ج,و,م,,,,,
فجي,ف,ج,ي,,,,ل,,
فحث,ف,ح,ث,,,ل,,,
فحج,ف,ح,ج,,,ك,ل,,
فحح,ف,ح,ح,ل,ل,,,,
فحس,ف,ح,س,,,م,,,
فحش,ف,ح,ش,ل,,,,ل,
فحص,ف,ح,ص,,,ك,,,
فحض,ف,ح,ض,,,م,,,
فحل,ف,ح,ل,,,م,,,
فحم,ف,ح,م,ل,,ل,ل,ل,
فحو,ف,ح,و,ل,,,,,
فحي,ف,ح,ي,,ل,,ل,,
فخت,ف,خ,ت,,,ك,,,
فخج,ف,خ,ج,,,ل,ل,,
فخخ,ف,خ,خ,,ل,,ل,,
فخذ,ف,خ,ذ,,,م,,,
فخر,ف,خ,ر,م,,ل,ل,,
فخز,ف,خ,ز,,,ك,ل,,
فخش,ف,خ,ش,,,م,,,
فخم,ف,خ,م,,,,,ل,
فدح,ف,د,ح,,,م,,,
فدخ,ف,د,خ,,,م,,,
فدد,ف,د,د,,ل,,,,
فدر,ف,د,ر,,ل,,ل,,
فدش,ف,د,ش,م,,,,,
فدع,ف,د,ع,,,,ل,,
فدغ,ف,د,غ,,,م,,,
فدم,ف,د,م,,ك,,,ل,
فدي,ف,د,ي,,م,,,,
فذذ,ف,ذ,ذ,ك,ك,,,,
فرت,ف,ر,ت,ل,,,ل,ل,
فرث,ف,ر,ث,ك,م,,ل,,
فرج,ف,ر,ج,,ك,,ل,ل,
فرح,ف,ر,ح,,,,ل,,
فرخ,ف,ر,خ,,,,ل,,
فرد,ف,ر,د,ل,,,ل,ل,
فرر,ف,ر,ر,ك,ل,,,,
فرز,ف,ر,ز,,م,,,,
فرس,ف,ر,س,,م,,ل,ل,
فرش,ف,ر,ش,ك,ك,,,,
فرص,ف,ر,ص,م,م,,,,
فرض,ف,ر,ض,,ك,,,ل,
فرط,ف,ر,ط,ك,ك,,,,
فرع,ف,ر,ع,,,ك,ل,,
فرغ,ف,ر,غ,ك,,ك,ك,ل,
فرق,ف,ر,ق,ك,ك,,ل,,
فرك,ف,ر,ك,م,,,ك,,
فرم,ف,ر,م,م,,,,,
فره,ف,ر,ه,ل,,,ل,ل,
فري,ف,ر,ي,,ك,,ل,,
فزر,ف,ز,ر,ك,,,ل,,
فزز,ف,ز,ز,ك,ل,,,,
فزع,ف,ز,ع,,,ك,ك,,
فسأ,ف,س,أ,,,م,ل,,
فسج,ف,س,ج,ل,,,,,
فسح,ف,س,ح,,,ك,,ل,
فسخ,ف,س,خ,,,ك,ل,,
فسد,ف,س,د,ل,,,,ل,
فسر,ف,س,ر,ك,م,,,,
فسق,ف,س,ق,ك,ك,,,ل,
فسل,ف,س,ل,م,,,ل,ل,
فسو,ف,س,و,ل,,,,,
فشأ,ف,ش,أ,,,ل,,,
فشج,ف,ش,ج,,ل,,,,
فشح,ف,ش,ح,,,ل,,,
فشخ,ف,ش,خ,,,ك,,,
فشش,ف,ش,ش,ك,,,,,
فشع,ف,ش,ع,,,ل,,,
فشغ,ف,ش,غ,,,ك,ل,,
فشق,ف,ش,ق,ك,,,ل,,
فشل,ف,ش,ل,م,,,ل,,
فشو,ف,ش,و,ل,,,,,
فصح,ف,ص,ح,,,م,,ل,
فصخ,ف,ص,خ,,,ك,,,
فصد,ف,ص,د,,ك,,,,
فصص,ف,ص,ص,,ك,,,,
فصع,ف,ص,ع,,,ك,,,
فصل,ف,ص,ل,ل,ك,,,,
فصم,ف,ص,م,,م,,,,
فصي,ف,ص,ي,,م,,,,
فضح,ف,ض,ح,,,م,ل,,
فضخ,ف,ض,خ,,,ك,,,
فضض,ف,ض,ض,ك,,,,,
فضع,ف,ض,ع,,,ل,,,
فضغ,ف,ض,غ,,,م,,,
فضل,ف,ض,ل,ك,,,ل,ل,
فضو,ف,ض,و,ك,,,,,
فطأ,ف,ط,أ,,,ك,ل,,
فطح,ف,ط,ح,,,ك,ل,,
فطر,ف,ط,ر,ك,ك,,,,
فطس,ف,ط,س,,ك,,ل,,
فطم,ف,ط,م,,م,,,,
فطن,ف,ط,ن,ل,,,ل,ل,
فطه,ف,ط,ه,,,,ل,,
فطو,ف,ط,و,م,,,,,
فظظ,ف,ظ,ظ,م,,,ل,,
فظع,ف,ظ,ع,,,,ك,ل,
فعر,ف,ع,ر,,,ل,,,
فعل,ف,ع,ل,,,ك,,,
فعم,ف,ع,م,,,م,ل,ل,
فغر,ف,غ,ر,ك,,ك,,,
فغغ,ف,غ,غ,ك,,,,,
فغم,ف,غ,م,,,ك,ل,,
فغو,ف,غ,و,ك,,,,,
فغي,ف,غ,ي,,,,ل,,
فقأ,ف,ق,أ,,,ك,,,
فقح,ف,ق,ح,,,ك,,,
فقخ,ف,ق,خ,,,م,,,
فقد,ف,ق,د,,م,,,,
فقر,ف,ق,ر,ك,ك,,ل,ل,
فقس,ف,ق,س,,ك,,,,
فقش,ف,ق,ش,,م,,,,
فقص,ف,ق,ص,,م,,,,
فقع,ف,ق,ع,ك,,ك,ل,,
فقق,ف,ق,ق,م,ل,,,,
فقم,ف,ق,م,ك,,,ل,ل,
فقه,ف,ق,ه,,,,ك,ل,
فقو,ف,ق,و,م,,,,,
فكر,ف,ك,ر,ل,ل,,,,
فكع,ف,ك,ع,,,ل,ل,,
فكك,ف,ك,ك,ك,,,ل,ل,
فكن,ف,ك,ن,ل,,,,,
فكه,ف,ك,ه,,,,ل,,
فلأ,ف,ل,أ,,,م,,,
فلت,ف,ل,ت,,ل,,,,
فلج,ف,ل,ج,ك,م,,ل,,
فلح,ف,ل,ح,,,ك,ل,,
فلخ,ف,ل,خ,,,م,,,
فلذ,ف,ل,ذ,,ك,,,,
فلس,ف,ل,س,,,,ل,,
فلط,ف,ل,ط,ل,,,,,
فلع,ف,ل,ع,,,م,,,
فلغ,ف,ل,غ,,,م,,,
فلق,ف,ل,ق,,ك,,,,
فلك,ف,ل,ك,ل,,,ل,,
فلل,ف,ل,ل,م,ل,,ل,,
فلو,ف,ل,و,ك,,,,,
فلي,ف,ل,ي,,ك,,ل,,
فنح,ف,ن,ح,,,ل,,,
فنخ,ف,ن,خ,,,م,,,
فند,ف,ن,د,,,,ل,,
فنس,ف,ن,س,,ل,,,,
فنع,ف,ن,ع,,,,ل,,
فنق,ف,ن,ق,,ل,,,,
فنك,ف,ن,ك,ل,,,ل,,
فنن,ف,ن,ن,ك,,,,,
فني,ف,ن,ي,,,,ل,,
فهد,ف,ه,د,,,ل,ل,,
فهر,ف,ه,ر,,,ل,,,
فهق,ف,ه,ق,,,م,ل,,
فهم,ف,ه,م,,,,ك,,
فهه,ف,ه,ه,,,,ك,,
فهو,ف,ه,و,ل,,,,,
فوت,ف,و,ت,ك,,,,,
فوج,ف,و,ج,ل,,,,,
فوح,ف,و,ح,ل,,,,,
فوخ,ف,و,خ,ل,,,,,
فود,ف,و,د,ك,,,,,
فور,ف,و,ر,ك,,,,,
فوز,ف,و,ز,ل,,,,,
فوظ,ف,و,ظ,ك,,,,,
فوع,ف,و,ع,ل,,,,,
فوغ,ف,و,غ,ل,,,,,
فوف,ف,و,ف,ل,,,,,
فوق,ف,و,ق,ك,,,ل,,
فوه,ف,و,ه,ل,,,ل,,
فيأ,ف,ي,أ,,ك,,,,
فيج,ف,ي,ج,,ل,,,,
فيح,ف,ي,ح,,ل,,ل,,
فيخ,ف,ي,خ,,ل,,,,
فيد,ف,ي,د,,ك,,,,
فيش,ف,ي,ش,,ك,,,,
فيص,ف,ي,ص,,ل,,,,
فيض,ف,ي,ض,,ل,,,,
فيظ,ف,ي,ظ,,ك,,,,
فيق,ف,ي,ق,,ل,,,,
فيل,ف,ي,ل,,ل,,,,
فين,ف,ي,ن,,ل,,,,
قأب,ق,أ,ب,,,م,ك,,
قأم,ق,أ,م,,,,ل,,
قأي,ق,أ,ي,,,ل,,,
قبب,ق,ب,ب,ك,ك,,ل,,
قبث,ق,ب,ث,,ل,,,,
قبح,ق,ب,ح,,,م,,ل,
قبر,ق,ب,ر,م,م,,,,
قبس,ق,ب,س,,م,,ل,ل,
قبص,ق,ب,ص,,ك,,ل,,
قبض,ق,ب,ض,,ك,,,,
قبط,ق,ب,ط,,م,,,,
قبع,ق,ب,ع,,,ك,,,
قبل,ق,ب,ل,ك,ل,,ك,ل,
قبن,ق,ب,ن,,ل,,,,
قبو,ق,ب,و,ك,,,,,
قتب,ق,ت,ب,م,,,,,
قتت,ق,ت,ت,ك,,,,,
قتد,ق,ت,د,,,,ل,,
قتر,ق,ت,ر,ك,ك,,ل,,
قتع,ق,ت,ع,,,ل,,,
قتل,ق,ت,ل,ك,,,,,
قتم,ق,ت,م,ل,,,ل,,
قتن,ق,ت,ن,ل,,,,ل,
قتو,ق,ت,و,م,,,,,
قثث,ق,ث,ث,م,,,,,
قثم,ق,ث,م,ك,ك,,ل,ل,
قثو,ق,ث,و,ك,,,,,
قثي,ق,ث,ي,,ك,,,,
قحب,ق,ح,ب,ل,,,,,
قحث,ق,ح,ث,,,م,,,
قحح,ق,ح,ح,ل,,,,,
قحد,ق,ح,د,,,ل,,,
قحر,ق,ح,ر,,,ل,,,
قحز,ق,ح,ز,,,ك,,,
قحص,ق,ح,ص,,,ك,,,
قحط,ق,ح,ط,,,ك,ل,,
قحف,ق,ح,ف,,,ك,,,
قحل,ق,ح,ل,,,ل,ل,,
قحم,ق,ح,م,ك,,ك,,,
قحو,ق,ح,و,م,,,,,
قخر,ق,خ,ر,,,ك,,,
قخو,ق,خ,و,ل,,,,,
قدح,ق,د,ح,,,ك,,,
قدد,ق,د,د,م,,,,,
قدر,ق,د,ر,ك,ك,,ل,,
قدس,ق,د,س,,,,,ل,
قدع,ق,د,ع,,,ك,ل,,
قدف,ق,د,ف,ك,,,,,
قدم,ق,د,م,ك,,,ك,ل,
قدو,ق,د,و,ل,,,ل,ل,
قدي,ق,د,ي,,ل,,,,
قذذ,ق,ذ,ذ,ك,,,,,
قذر,ق,ذ,ر,ك,,,ك,ل,
قذع,ق,ذ,ع,,,م,,,
قذف,ق,ذ,ف,,ك,,,,
قذل,ق,ذ,ل,ك,,,,,
قذم,ق,ذ,م,,ل,,ل,,
قذي,ق,ذ,ي,,ك,,ل,,
قرأ,ق,ر,أ,,,ك,,,
قرب,ق,ر,ب,ك,,,ك,ل,
قرت,ق,ر,ت,ل,,,ل,,
قرث,ق,ر,ث,م,,,ل,,
قرح,ق,ر,ح,,,ك,ل,,
قرد,ق,ر,د,,ك,,ل,,
قرر,ق,ر,ر,ك,ل,,ك,,
قرس,ق,ر,س,,ك,,ل,,
قرش,ق,ر,ش,ك,ك,,ك,,
قرص,ق,ر,ص,ك,,,ل,,
قرض,ق,ر,ض,,ك,,ل,,
قرط,ق,ر,ط,م,,,ل,,
قرظ,ق,ر,ظ,,ك,,ل,,
قرع,ق,ر,ع,,,ك,ل,,
قرف,ق,ر,ف,,ك,,ك,,
قرق,ق,ر,ق,,ل,,ل,,
قرم,ق,ر,م,ك,ل,,ل,,
قرن,ق,ر,ن,ك,ك,,ل,,
قره,ق,ر,ه,,,,ل,,
قرو,ق,ر,و,ك,,,,,
قري,ق,ر,ي,,ك,,ل,,
قزب,ق,ز,ب,,,,ل,,
قزح,ق,ز,ح,,,ك,ل,,
قزز,ق,ز,ز,ك,ك,,,,
قزع,ق,ز,ع,,,ل,ل,,
قزل,ق,ز,ل,,ل,,ل,,
قزم,ق,ز,م,م,,,ل,,
قزو,ق,ز,و,ك,,,,,
قسب,ق,س,ب,,ل,,,ل,
قسح,ق,س,ح,,,ك,,,
قسر,ق,س,ر,,م,,,,
قسس,ق,س,س,ك,,,,,
قسط,ق,س,ط,,ل,,ل,,
قسم,ق,س,م,,ك,,,ل,
قسو,ق,س,و,ل,,,,,
قشب,ق,ش,ب,,ك,,م,ل,
قشد,ق,ش,د,,م,,,,
قشر,ق,ش,ر,م,م,,ل,,
قشش,ق,ش,ش,ك,ك,,,,
قشط,ق,ش,ط,,م,,,,
قشع,ق,ش,ع,,,ك,ل,,
قشف,ق,ش,ف,,,,ل,ل,
قشم,ق,ش,م,,ك,,,,
قشو,ق,ش,و,م,,,,,
قصب,ق,ص,ب,,م,,,,
قصد,ق,ص,د,,ك,,,ل,
قصر,ق,ص,ر,ك,ك,,ل,ل,
قصص,ق,ص,ص,ك,,,,,
قصع,ق,ص,ع,,,ك,ل,ل,
قصف,ق,ص,ف,,ك,,ل,,
قصل,ق,ص,ل,,ك,,,,
قصم,ق,ص,م,,ك,,ل,,
قصو,ق,ص,و,ك,,,ل,,
قضأ,ق,ض,أ,,,,ك,,
قضب,ق,ض,ب,,م,,,,
قضض,ق,ض,ض,ك,ل,,ل,,
قضع,ق,ض,ع,,,م,,,
قضف,ق,ض,ف,,,,,ل,
قضم,ق,ض,م,,ك,,ك,,
قضي,ق,ض,ي,,ك,,,,
قطب,ق,ط,ب,,ك,,,,
قطر,ق,ط,ر,ك,,,,,
قطط,ق,ط,ط,ك,ل,,ل,,
قطع,ق,ط,ع,,,ك,ل,ل,
قطف,ق,ط,ف,ك,ك,,,ل,
قطل,ق,ط,ل,م,م,,,,
قطم,ق,ط,م,,ك,,ل,,
قطن,ق,ط,ن,ك,,,ل,,
قطو,ق,ط,و,ل,,,,,
قعث,ق,ع,ث,,,ك,,,
قعد,ق,ع,د,ل,,,ل,,
قعر,ق,ع,ر,,,ك,,ل,
قعز,ق,ع,ز,,,م,,,
قعس,ق,ع,س,,,ك,ل,,
قعش,ق,ع,ش,,,ك,,,
قعص,ق,ع,ص,,,م,ل,,
قعط,ق,ع,ط,,,ك,ل,,
قعع,ق,ع,ع,م,,,,,
قعف,ق,ع,ف,,,ك,ل,,
قعم,ق,ع,م,ل,,,ل,,
قعن,ق,ع,ن,,,,ل,,
قعو,ق,ع,و,ك,,,ل,,
قفأ,ق,ف,أ,,,,ل,,
قفح,ق,ف,ح,,,ك,,,
قفخ,ق,ف,خ,,,م,,,
قفد,ق,ف,د,,ك,,ل,,
قفر,ق,ف,ر,م,,,ل,,
قفز,ق,ف,ز,,ل,,ل,,
قفس,ق,ف,س,,ك,,ل,ل,
