الجذر,الحرف الأول للجذر,الحرف الثاني للجذر,الحرف الثالث للجذر,أفعل,فعّل,فاعل,انفعل,افتعل,افعلّ,تفاعل,تفعّل,استفعل,افعوعل,افعوّل,افعالّ
خثي,خ,ث,ي,ل,,,,,,,,,,,
خجأ,خ,ج,أ,م,,,,,,ل,,,,,
خجج,خ,ج,ج,ل,,,,ل,,,,,,,
خجل,خ,ج,ل,ك,م,,,م,,,,,,,
خجي,خ,ج,ي,ل,م,,,,,,,,,,
خدب,خ,د,ب,,,,,,,,ل,,,,
خدج,خ,د,ج,ك,ل,,,,,,,,,,
خدد,خ,د,د,,ك,م,,,,ل,ل,,,,
خدر,خ,د,ر,ك,م,,,ل,,,ل,,,,
خدش,خ,د,ش,,م,م,,,,,,,,,
خدع,خ,د,ع,م,م,م,ل,م,,ل,ك,,,,
خدف,خ,د,ف,,,,,م,,,,,,,
خدم,خ,د,م,م,م,,,ك,,,ك,م,,,
خدن,خ,د,ن,,,م,,,,,,,,,
خدي,خ,د,ي,ل,,,,,,,,,,,
خذأ,خ,ذ,أ,م,,,,,,,,ل,,,
خذذ,خ,ذ,ذ,ل,,,,,,,,,,,
خذع,خ,ذ,ع,,ك,,,,,,ل,,,,
خذف,خ,ذ,ف,,,,,,,ل,,,,,
خذل,خ,ذ,ل,ك,ك,,ل,ل,,ل,,,,,
خذم,خ,ذ,م,ك,م,,,ك,,,ك,,,,
خذي,خ,ذ,ي,م,,,,,,,,ل,,,
خرب,خ,ر,ب,ك,م,,,,,,ك,ل,,,
خرج,خ,ر,ج,ك,م,م,,,ل,ل,ل,ك,,,ل
خرد,خ,ر,د,ل,,,,,,,ل,,,,
خرر,خ,ر,ر,م,,,ل,,,,,,,,
خرز,خ,ر,ز,,م,,,,,,,,,,
خرس,خ,ر,س,ك,ك,,,,,ل,ل,ل,,,
خرش,خ,ر,ش,,ك,م,,ك,,ل,,,,,
خرص,خ,ر,ص,,م,م,,ك,,,ك,,,,
خرط,خ,ر,ط,ك,ك,,ل,ك,,,ل,ل,,ل,
خرع,خ,ر,ع,,م,,ل,م,,,ل,,,,
خرف,خ,ر,ف,ك,ك,م,,م,,,,,,,
خرق,خ,ر,ق,م,ك,,ل,ك,,ك,ك,,ل,,
خرم,خ,ر,م,,م,,ل,م,,,ك,,,,
خزب,خ,ز,ب,,,,,,,,ل,,,,
خزر,خ,ز,ر,,م,,,,,ل,,,,,
خزز,خ,ز,ز,,,,,م,,,,,,,
خزع,خ,ز,ع,,م,,ل,م,,,ك,,,,
خزق,خ,ز,ق,,,,ل,ل,,,,,,,
خزل,خ,ز,ل,,,,ل,ك,,,ل,,,,
خزم,خ,ز,م,,م,م,,,,ل,ك,,,,
خزن,خ,ز,ن,ل,,,,م,,,,م,,,
خزي,خ,ز,ي,م,,م,,,,,,ل,,,
خسأ,خ,س,أ,ل,,ل,ل,,,ل,,,,,
خسر,خ,س,ر,ك,م,,,م,,,,,,,
خسس,خ,س,س,ك,م,,,,,م,,م,,,
خسف,خ,س,ف,ك,,,ل,,,,,,,,
خسل,خ,س,ل,م,,,,,,,,,,,
خسن,خ,س,ن,ل,,,,,,,,,,,
خسو,خ,س,و,ك,ك,م,,,,ل,,,,,
خشب,خ,ش,ب,,ك,,,م,,,ك,,ل,,
خشش,خ,ش,ش,م,,,ل,ل,,,,,,,
خشع,خ,ش,ع,م,,,,ل,,ل,ل,,,,
خشف,خ,ش,ف,ل,ل,ك,ل,,,,,,,,
خشل,خ,ش,ل,,م,,,,,,ل,,,,
خشم,خ,ش,م,ل,ك,,,,,,ل,,,,
خشن,خ,ش,ن,,م,م,,,,ل,ل,م,ل,,
خشي,خ,ش,ي,,م,ك,,,,,ك,,,,
خصب,خ,ص,ب,ك,,,,ل,,,,,,,
خصر,خ,ص,ر,م,م,م,,ك,,ل,ك,,,,
خصص,خ,ص,ص,ك,ك,,,ك,,,ل,م,,,
خصف,خ,ص,ف,ك,ك,,,ك,,,,,,,
خصل,خ,ص,ل,ل,م,م,,,,ل,,,,,
خصم,خ,ص,م,م,,م,,ك,,ك,,,,,
خصي,خ,ص,ي,ل,,,,م,,,,,,,
خضب,خ,ض,ب,ل,ك,,,ل,,,ل,,ل,,
خضج,خ,ض,ج,م,,,ل,,,,ل,,,,
خضد,خ,ض,د,ل,م,,ل,ك,,,ل,,,,
خضر,خ,ض,ر,م,ك,م,,ك,ل,,,,ل,,ل
خضض,خ,ض,ض,,م,م,,,,,,,,,
خضع,خ,ض,ع,ك,م,م,,ك,,,ل,,ل,,
خضل,خ,ض,ل,ك,م,,,,ل,,,,ل,,ل
خضم,خ,ض,م,ك,م,,,م,,,,,,,
خضن,خ,ض,ن,,,ك,,,,,,,,,
خطأ,خ,ط,أ,ك,م,,,,,ك,ك,ل,,,
خطب,خ,ط,ب,ك,م,م,,ك,,ل,,,,,
خطر,خ,ط,ر,ك,ك,ك,,,,ل,ك,,,,
خطط,خ,ط,ط,,ك,,,ك,,,,,,,
خطف,خ,ط,ف,ك,ك,,,م,,,م,,,,
خطل,خ,ط,ل,ل,,,,,,,ل,,,,
خطم,خ,ط,م,,م,,,م,,,,,,,
خطو,خ,ط,و,م,م,,,ك,,,ك,,,,
خظظ,خ,ظ,ظ,ل,,,,,,,,,,,
خظو,خ,ظ,و,ك,م,,,,,,,,,,
خفت,خ,ف,ت,ل,,ك,,,,ل,,,,,
خفج,خ,ف,ج,م,,,,,,,ل,,,,
خفد,خ,ف,د,ل,,,,,,,,,,,
خفر,خ,ف,ر,م,م,,,,,,ل,ك,,,
خفس,خ,ف,س,ك,ك,,ل,,,,ك,,,,
خفش,خ,ف,ش,,ك,,,,,,,,,,
خفض,خ,ف,ض,,م,,ل,ل,,,ل,,,,
خفع,خ,ف,ع,م,,,ل,,,,,,,,
خفف,خ,ف,ف,ك,ك,,,,,ل,ل,ك,,,
خفق,خ,ف,ق,ك,م,,,ل,,,,,,,
خفي,خ,ف,ي,ك,م,,,ك,,,ل,ل,,,
خقق,خ,ق,ق,ل,,,,,,,,ل,,,
خلأ,خ,ل,أ,,,ك,,,,,,,,,
خلب,خ,ل,ب,ل,ك,م,,م,,,,م,,,
خلج,خ,ل,ج,ك,,م,,ك,,ك,ك,,,,
خلد,خ,ل,د,ك,ك,,,,,,,,,,
خلس,خ,ل,س,ل,,م,,م,,ك,م,,,,
خلص,خ,ل,ص,ك,ك,م,,,,ل,ك,م,,,
خلط,خ,ل,ط,ك,ك,م,,ك,,ل,,ك,,,
خلع,خ,ل,ع,ك,ك,م,ل,ك,,ل,ل,,,,
خلف,خ,ل,ف,ك,ك,ك,,ك,,ل,ك,ك,,,
خلق,خ,ل,ق,ك,م,م,ل,ك,,,ك,,ل,,
خلل,خ,ل,ل,ك,ك,م,,ك,,ل,ك,,,,
خلم,خ,ل,م,,م,م,,م,,,,,,,
خلو,خ,ل,و,ك,ك,ك,,,,ل,ك,ك,,,
خلي,خ,ل,ي,ك,,,ل,ك,,,,,ل,,
خمد,خ,م,د,ك,,,,,,,,,,,
خمر,خ,م,ر,ك,ك,ك,,ل,,م,ل,م,,,
خمس,خ,م,س,ل,ك,,,,,,,,,,
خمش,خ,م,ش,,م,,,,,,ل,,,,
خمص,خ,م,ص,,,,ل,,,ل,,,,,
خمط,خ,م,ط,,,,,,,,ل,,,,
خمل,خ,م,ل,ك,م,,ل,ل,,,,,,,
خمم,خ,م,م,ك,,,,م,,,م,,,,
خمن,خ,م,ن,,ك,,,,,,,,,,
خنب,خ,ن,ب,ك,,,,ل,,,ل,,,,
خنث,خ,ن,ث,ك,م,,ل,م,,,ل,,,,
خنس,خ,ن,س,م,م,,ل,ل,,,ل,,,,
خنع,خ,ن,ع,م,ك,,,,,,,,,,
خنق,خ,ن,ق,,م,,ل,ل,,ل,,,,,
خنن,خ,ن,ن,م,,,,,,,,ل,,,
خني,خ,ن,ي,ل,,,,,,,,,,,
خوت,خ,و,ت,,ل,م,ل,ك,,,ك,,,,
خوخ,خ,و,خ,ل,,,,,,,,,,,
خود,خ,و,د,,ك,,,,,,ل,,,,
خوذ,خ,و,ذ,,م,ك,,,,ك,م,,,,
خور,خ,و,ر,م,ك,,,,,ل,,م,,,
خوس,خ,و,س,,ك,,,,,,,,,,
خوش,خ,و,ش,,م,ك,,,,,ك,,,,
خوص,خ,و,ص,ل,ك,ك,,,,ل,ك,,,,ل
خوض,خ,و,ض,ك,ك,م,,ك,,ل,ك,,,,
خوط,خ,و,ط,,,,,,,,ك,,,,
خوع,خ,و,ع,,ك,,,,,,ك,,,,
خوف,خ,و,ف,ك,ك,م,,,,,ك,,,,
خوق,خ,و,ق,ل,م,,ل,ل,,,ل,,,,
خول,خ,و,ل,ك,م,,,,,,ك,ك,,,
خوم,خ,و,م,ل,ل,,,,,,,,,,
خون,خ,و,ن,,ك,,,م,,,ك,م,,,
خوي,خ,و,ي,ك,ك,,,ك,,,,,,,
خيب,خ,ي,ب,م,م,,,,,,ل,,,,
خيت,خ,ي,ت,,,,,م,,,,,,,
خير,خ,ي,ر,م,ك,م,,م,,ل,ك,ك,,,
خيس,خ,ي,س,,ك,,,,,,ل,,,,
خيش,خ,ي,ش,,م,,,,,,,,,,
خيط,خ,ي,ط,,ك,,,ك,,,ل,,,,
خيف,خ,ي,ف,ك,ك,,,ل,,,ك,,,,
خيل,خ,ي,ل,ك,ك,ك,,ل,,ل,ك,ك,,,
خيم,خ,ي,م,ك,ك,,,,,,ك,,,,
دأب,د,أ,ب,م,,,,,,,,,,,
دأك,د,أ,ك,,,,,,,ل,,,,,
دأل,د,أ,ل,,,م,,,,,,,,,
دأم,د,أ,م,,,,,,,ك,م,,,,
دبأ,د,ب,أ,,ك,,,,,,,,,,
دبب,د,ب,ب,م,ل,,,,,,,,,,
دبج,د,ب,ج,,م,,,,,,,,,,
دبح,د,ب,ح,,ك,,ل,,,,,,,,
دبخ,د,ب,خ,,ل,,,,,,,,,,
دبر,د,ب,ر,ك,ك,ك,,,,ل,ك,ك,,,
دبس,د,ب,س,ل,ك,,,,ل,,,,,,ل
دبغ,د,ب,غ,,م,,ل,,,,ل,,,,
دبق,د,ب,ق,م,م,,,,,,ل,,,,
دبل,د,ب,ل,,م,,,,,,,,,,
دبه,د,ب,ه,,ل,,,,,,,,,,
دبي,د,ب,ي,ل,م,,,,,,,,,,
دثر,د,ث,ر,ل,ك,,ل,ك,,ل,ك,,,,
دثن,د,ث,ن,,ل,,,,,,,,,,
دجج,د,ج,ج,,ك,,,,,,ل,,,,
دجر,د,ج,ر,,,ل,ل,,,,,,,,
دجل,د,ج,ل,,ك,,,,,,,,,,
دجن,د,ج,ن,ل,,م,,,,,,,ل,,
دجه,د,ج,ه,,ل,,,,,,,,,,
دجو,د,ج,و,ك,,م,,,,,ل,,ل,,
دحح,د,ح,ح,,,,ل,,,,,,,,
دحر,د,ح,ر,,,,ل,,,,,,,,
دحس,د,ح,س,ل,,,,,,,,,,,
دحض,د,ح,ض,م,,,ل,,,,,,,,
دحق,د,ح,ق,م,,,ل,,,,,,,,
دحل,د,ح,ل,ل,,م,,,,,,,,,
دحو,د,ح,و,,,,,,ل,,,,,,
دحي,د,ح,ي,,,م,ل,,,ل,ل,,,,
دخر,د,خ,ر,م,,,,م,,,,,,,
دخس,د,خ,س,ك,,,,,,,,,,,
دخل,د,خ,ل,م,م,ك,,ل,,ك,ل,,,,
دخن,د,خ,ن,ل,ك,,,ل,,,ل,,,,
درأ,د,ر,أ,ل,,ك,ل,ك,,ل,ل,,,,
درب,د,ر,ب,ل,ك,,,,,,ل,,,,
درج,د,ر,ج,م,م,,ل,,,,ل,م,,,
درد,د,ر,د,م,,,,,,,,,,,
درر,د,ر,ر,ك,,,,,,,,ك,,,
درس,د,ر,س,م,م,م,ل,م,,م,ل,,,,
درع,د,ر,ع,ك,ك,,ل,ك,,,ك,,,,
درق,د,ر,ق,,م,,,,,,ل,,,,
درك,د,ر,ك,ك,ك,م,,ك,,ك,,ك,,,
درم,د,ر,م,ل,م,ل,,,,,,,,,
درن,د,ر,ن,ك,,,,,,,,,,,
دره,د,ر,ه,,ك,,,,,,ل,,,,
دري,د,ر,ي,م,,م,,ك,,,ك,,,,
دسج,د,س,ج,,,,ل,,,,,,,,
دسس,د,س,س,,م,,ل,,,,,,,,
دسع,د,س,ع,,,,,ل,,,,,,,
دسف,د,س,ف,ل,,,,,,,,,,,
دسق,د,س,ق,م,,,,,,,,,,,
دسم,د,س,م,م,م,,,,,,ل,,,,
دسو,د,س,و,,م,,,,,,ل,,,,
دشن,د,ش,ن,,م,,,,,,,,,,
دعب,د,ع,ب,ل,,م,,,,ل,ل,,,,
دعث,د,ع,ث,ك,,,ل,,,,ل,,,,
دعر,د,ع,ر,,,,,,,,ل,,,,
دعس,د,ع,س,م,م,م,,,,,,,,,
دعص,د,ع,ص,ك,,م,ل,,,,ل,,,,
دعع,د,ع,ع,ل,,,,,,,,,,,
دعق,د,ع,ق,ك,,,,,,,,,,,
دعك,د,ع,ك,,,م,,,,ل,,,,,
دعل,د,ع,ل,,,م,,,,,,,,,
دعم,د,ع,م,,م,,,ل,,م,,,,,
دعن,د,ع,ن,ك,,,,,,,,,,,
دعو,د,ع,و,م,ل,م,ل,ك,,ك,ل,م,,,
دغر,د,غ,ر,,,,ل,,,,ل,,,,
دغش,د,غ,ش,ل,,ك,,,,ل,,,,,
دغص,د,غ,ص,م,,ك,,,,,,,,,
دغل,د,غ,ل,ك,,,,,,,,,,,
دغم,د,غ,م,ك,,,,ك,,,,,,,ل
دفأ,د,ف,أ,ك,م,م,,ل,,,ل,ل,,,
دفر,د,ف,ر,ل,,,,,,,,,,,
دفس,د,ف,س,ل,,,,,,,,,,,
دفع,د,ف,ع,,م,ك,ل,,,ك,ل,م,,,
دفف,د,ف,ف,ل,ك,ك,,,,ل,,ل,,,
دفق,د,ف,ق,م,م,,ل,,,,ل,ل,,,
دفن,د,ف,ن,,,,ل,ك,,ل,ل,,,,
دفو,د,ف,و,ك,,م,,,,ك,,ل,,,
دقع,د,ق,ع,ك,,,,,,,,,,,
دقق,د,ق,ق,ك,ك,م,ل,,,ل,,ك,,,
دقل,د,ق,ل,ل,,,,,,,,,,,
دقم,د,ق,م,م,,,ل,,,,,,,,
دكأ,د,ك,أ,,,ك,,,,ل,,,,,
دكس,د,ك,س,ل,,,ل,ل,,ل,,,,,
دكك,د,ك,ك,,م,,ل,,,ل,,,,,
دكل,د,ك,ل,,م,,,,,,ل,,,,
دكم,د,ك,م,,م,,ل,,,ل,,,,,
دكن,د,ك,ن,ل,م,,,,,,,,,,
دلث,د,ل,ث,,,,ل,م,,,ل,,,,
دلج,د,ل,ج,ل,,,,ل,,,,,,,
دلح,د,ل,ح,,,,,,,م,,,,,
دلس,د,ل,س,ل,ك,م,ل,,ل,,ك,,,,ل
دلص,د,ل,ص,م,ك,,ل,,,,,,,,
دلظ,د,ل,ظ,,,م,ل,,,,,,,,
دلع,د,ل,ع,م,,,ل,ل,,,,,,,
دلف,د,ل,ف,م,,,ل,,,,ل,,,,
دلق,د,ل,ق,م,,,ل,,,,ل,م,,,
دلك,د,ل,ك,,م,م,,,,,ل,,,,
دلل,د,ل,ل,ك,ك,,ل,ك,,,ل,ل,,,
دلم,د,ل,م,,,,,,,,,,,,ل
دله,د,ل,ه,,م,,,,,,ل,,,,
دلو,د,ل,و,ك,ك,م,,,,,ل,,ل,,
دمث,د,م,ث,,م,,,,,,,,,,
دمج,د,م,ج,م,م,م,ل,ل,,ل,ل,,,,
دمح,د,م,ح,,ل,,,,,,,,,,
دمخ,د,م,خ,,ل,,,,,,,,,,
دمر,د,م,ر,,ك,ك,,,,,,,,,
دمس,د,م,س,ك,م,م,ل,ل,,,ك,,,,
دمش,د,م,ش,م,م,,,,,,,,,,
دمع,د,م,ع,م,,,,,,,,,,,
دمغ,د,م,غ,م,م,,,,,,,,,,
دمق,د,م,ق,م,م,,ل,,,,,,,,
دمل,د,م,ل,م,,م,ل,ل,,ل,ل,,,,
دمم,د,م,م,ل,م,,,,,,,,,,
دمن,د,م,ن,ك,م,,,,,,ل,,,,
دمه,د,م,ه,,,,,,,,,,ل,,
دمي,د,م,ي,م,ك,,,,,,,ك,,,
دنأ,د,ن,أ,ل,م,,,,,,ك,,,,
دنح,د,ن,ح,,ل,,,,,,,,,,
دنخ,د,ن,خ,,ل,,,,,,,,,,
دنر,د,ن,ر,,ك,,,,,,ل,,,,
دنس,د,ن,س,,م,,,,,,ل,,,,
دنع,د,ن,ع,ل,,,,,,,,,,,
دنف,د,ن,ف,ك,,,,,,,,,,,
دنق,د,ن,ق,,ك,,,,,,,,,,
دنن,د,ن,ن,ل,ل,,,,,,,,,,
دنو,د,ن,و,ك,ك,ك,,ل,,ل,ل,م,,,
دهر,د,ه,ر,,,م,,,,,,,,,
دهس,د,ه,س,ل,,,,,,,,,,,ل
دهش,د,ه,ش,م,ل,,,,,,,,,,
دهض,د,ه,ض,ل,,,,,,,,,,,
دهف,د,ه,ف,م,,,,,,,,,,,
دهق,د,ه,ق,م,م,,,ك,,,,,,,
دهم,د,ه,م,م,م,,,,ل,,ل,,,,ل
دهن,د,ه,ن,ك,م,ك,,ل,,,ل,,,,ل
دهي,د,ه,ي,ك,م,م,,,,,ل,,,,
دوأ,د,و,أ,ك,,,,ل,,,,,,,
دوح,د,و,ح,ل,م,,ل,,,,ل,,,,
دوخ,د,و,خ,م,م,,,,,,,,,,
دود,د,و,د,ل,ل,,,,,,,,,,
دور,د,و,ر,ك,ك,م,,,,,ك,ك,,,
دوس,د,و,س,م,م,,ل,ل,,,,,,,
دوص,د,و,ص,,ل,,,,,,,,,,
دوف,د,و,ف,م,,,,,,,,,,,
دوق,د,و,ق,ل,م,,ل,,,,ل,,,,
دوك,د,و,ك,,,,,,,ل,,,,,
دول,د,و,ل,م,م,م,ل,,,ك,,م,,,
دوم,د,و,م,ك,ك,ك,,,,,ل,ك,,,
دون,د,و,ن,,م,,,,,,ل,,,,
دوه,د,و,ه,,ل,,,,,,ل,,,,
دوي,د,و,ي,ك,ك,م,,ل,,ل,,,,,
ديث,د,ي,ث,,ك,,,,,,ل,,,,
ديح,د,ي,ح,,ك,,,,,,,,,,
ديخ,د,ي,خ,م,م,,,,,,,,,,
ديد,د,ي,د,,ل,,,,,,,,,,
دير,د,ي,ر,,,,,,,,م,,,,
ديص,د,ي,ص,,,,ل,,,,,,,,
ديف,د,ي,ف,م,,,,,,,,,,,
ديم,د,ي,م,,ل,,,,,,,,,,
دين,د,ي,ن,ك,م,م,,ك,,ل,ل,ك,,,
ذأب,ذ,أ,ب,ك,م,,,,,ك,ك,ل,,,
ذأج,ذ,أ,ج,,,,ل,,,,,,,,
ذأر,ذ,أ,ر,م,,ل,,,,,,,,,
ذأف,ذ,أ,ف,ك,,,ل,,,,,,,,
ذأل,ذ,أ,ل,,,,,,,ل,,,,,
ذأم,ذ,أ,م,م,,,,,,,,,,,
ذبب,ذ,ب,ب,ل,ك,,,,,,,,,,
ذبح,ذ,ب,ح,,ك,,,ل,,ل,,,,,
ذبر,ذ,ب,ر,,م,,,,,,,,,,
ذبل,ذ,ب,ل,ك,,,,,,,ل,,,,
ذحج,ذ,ح,ج,ل,,,,,,,,,,,
ذخر,ذ,خ,ر,,,,,م,,,,,,,
ذرأ,ذ,ر,أ,ك,,,,,,,,,,,
ذرب,ذ,ر,ب,ك,م,,,,,,,,,,
ذرح,ذ,ر,ح,,ك,,,,,,,,,,
ذرر,ذ,ر,ر,,,ل,,,,,,,,,
ذرع,ذ,ر,ع,ك,ك,م,ل,م,,م,ك,ل,,,
ذرف,ذ,ر,ف,,ك,,,,,ل,,ك,,,
ذرق,ذ,ر,ق,ل,م,,,ل,,,ل,,,,
ذرو,ذ,ر,و,ك,م,,,,,,ك,ل,,,
ذعب,ذ,ع,ب,,,,ل,,,,م,,,,
ذعر,ذ,ع,ر,م,,,ل,,,,ل,,,,
ذعط,ذ,ع,ط,,,,ل,,,,,,,,
ذعف,ذ,ع,ف,م,,,ل,,,,,,,,
ذعن,ذ,ع,ن,ل,,,,,,,,,,,
ذفر,ذ,ف,ر,,,,,,,,,ل,,,
ذفف,ذ,ف,ف,ك,ك,ك,,,,,,ل,,,
ذقح,ذ,ق,ح,,,,,,,,ل,,,,
ذقط,ذ,ق,ط,,,,,,,,م,,,,
ذقن,ذ,ق,ن,,ل,م,,,,,,,,,
ذكر,ذ,ك,ر,ك,م,م,,م,,ك,ك,م,,,
ذكو,ذ,ك,و,ك,ك,,,,,,,ك,,,
ذلغ,ذ,ل,غ,,,,ل,,,,ل,,,,
ذلق,ذ,ل,ق,ك,م,,ل,,,,,م,,,
ذلل,ذ,ل,ل,ك,م,,,,,,ل,م,,,
ذلي,ذ,ل,ي,ل,,,ل,,,,ل,,ل,,
ذمر,ذ,م,ر,,ك,,,,,ل,ل,,,,
ذمل,ذ,م,ل,,م,,,,,,,,,,
ذمم,ذ,م,م,ك,م,,,,,ل,ل,ل,,,
ذمه,ذ,م,ه,م,,,,,,,,,,,
ذمي,ذ,م,ي,م,,,,,,,,م,,,
ذنب,ذ,ن,ب,ل,ك,ل,,,,ل,ك,ك,,,
ذنن,ذ,ن,ن,,ل,م,,,,,,,,,
ذهب,ذ,ه,ب,ك,م,,,,,,,,,,
ذهل,ذ,ه,ل,م,,,ل,,,,,,,,
ذهن,ذ,ه,ن,ك,,م,,,,,,م,,,
ذوب,ذ,و,ب,ك,م,,,,,,,م,,,
ذوح,ذ,و,ح,,م,,,,,,,,,,
ذود,ذ,و,د,م,ك,,,,,,,,,,
ذور,ذ,و,ر,م,,,,,,,,,,,
ذوط,ذ,و,ط,م,,,,,,,,,,,
ذوع,ذ,و,ع,ل,,,,,,,,,,,
ذوق,ذ,و,ق,م,,,,,,م,م,ك,,,
ذول,ذ,و,ل,,ل,,,,,,,,,,
ذون,ذ,و,ن,,,,,,,,ل,,,,
ذوي,ذ,و,ي,م,,,,,,,,,,,
ذيأ,ذ,ي,أ,,م,,,,,,ل,,,,
ذيج,ذ,ي,ج,,,م,,,,,,,,,
ذيح,ذ,ي,ح,,م,,,,,,,,,,
ذيخ,ذ,ي,خ,ك,ك,,,,,,,,,,
ذير,ذ,ي,ر,,م,,,,,,,,,,
ذيع,ذ,ي,ع,ك,,,,,,,,,,,
ذيل,ذ,ي,ل,م,ك,,,,,ل,ل,,,,
رأب,ر,أ,ب,ك,ك,,,ك,,,,,,,
رأد,ر,أ,د,,,,,ل,,ل,ل,,,,
رأس,ر,أ,س,,م,ل,,ك,,,ل,,,,
رأف,ر,أ,ف,,,ل,,,,ل,ل,م,,,
رأم,ر,أ,م,م,,م,,,,,ك,,,,
رأي,ر,أ,ي,م,م,م,,ك,,ك,ل,ك,,,
ربأ,ر,ب,أ,ل,م,م,,ك,,,,,,,
ربب,ر,ب,ب,ك,م,,,ك,,,م,,,,
ربت,ر,ب,ت,,م,,,,,,م,,,,
ربث,ر,ب,ث,,م,,,ل,ل,,ل,,,,ل
ربج,ر,ب,ج,ل,,,,,,,ل,,,,
ربح,ر,ب,ح,ك,ك,م,,,,,ل,,,,
ربخ,ر,ب,خ,ل,,,,,,,ل,,,,
ربد,ر,ب,د,ل,ل,,,,ل,,ل,,,,ل
ربذ,ر,ب,ذ,ك,,,,,,,,,,,
ربز,ر,ب,ز,م,م,,,ل,,,,,,,
ربس,ر,ب,س,ك,م,,,ل,ل,,ك,,,,
ربش,ر,ب,ش,ل,,,,,,,,,,,
ربص,ر,ب,ص,,,,,,,,ك,,,,
ربض,ر,ب,ض,ك,ك,,,,,,ل,,,,
ربط,ر,ب,ط,,,ك,,ك,,ل,,,,,
ربع,ر,ب,ع,ك,ك,م,,ك,,,ك,ك,,,
ربغ,ر,ب,غ,ك,,,,,,,,,,,
ربق,ر,ب,ق,,ك,,,ك,,,م,,,,
ربك,ر,ب,ك,,,,,ل,,,,,,,ل
ربل,ر,ب,ل,ل,ل,ل,,ل,,ل,ل,,,,
ربن,ر,ب,ن,م,,,,ل,,,ل,,,,
ربه,ر,ب,ه,ل,,,,,,,,,,,
ربو,ر,ب,و,ك,ك,م,,م,,,ك,,,,
رتأ,ر,ت,أ,ك,,,,,,,,,,,
رتب,ر,ت,ب,ك,م,,,,,,ل,,,,
رتت,ر,ت,ت,م,,,,,,,,,,,
رتج,ر,ت,ج,ك,,,,ل,ل,,,ل,,,
رتخ,ر,ت,خ,ل,,,,,ل,,,,,,
رتع,ر,ت,ع,ك,,,,,,,,,,,
رتق,ر,ت,ق,,,,,ل,,,,,,,
رتك,ر,ت,ك,ك,,,,,,,,,,,
رتل,ر,ت,ل,,م,,,,,,ل,,,,
رتم,ر,ت,م,ك,,,,ل,,,ل,,,,
رثأ,ر,ث,أ,ل,,,,ك,,,,,,,
رثث,ر,ث,ث,ك,,,,ك,,,,,,,
رثد,ر,ث,د,ك,,,,ك,,,,,,,
رثط,ر,ث,ط,ل,,,,,,,ل,,,,
رثم,ر,ث,م,,ك,,,,ل,,,,,,
رثن,ر,ث,ن,,ك,,,,,,ل,,,,
رثي,ر,ث,ي,,م,,,,,,م,م,,,
رجأ,ر,ج,أ,ك,,,,,,,,,,,
رجب,ر,ج,ب,م,ك,,,,,,ك,,,,
رجج,ر,ج,ج,ل,,,,ل,,,,,,,
رجح,ر,ج,ح,ك,ك,م,,ل,,,ل,,,,
رجد,ر,ج,د,ل,ل,,,,,,,,,,
رجز,ر,ج,ز,,م,م,,ل,,ل,ل,,,,
رجس,ر,ج,س,ل,,,,ل,,,,,,,
رجع,ر,ج,ع,ك,ك,ك,,ك,,ك,ك,ك,,,
رجف,ر,ج,ف,ك,,,,ل,,,,م,,,
رجل,ر,ج,ل,ك,م,,,ك,,,ك,,,,
رجم,ر,ج,م,,ك,ك,,ل,,ل,,م,,,
رجن,ر,ج,ن,ك,م,,,ل,,,,,,,
رجه,ر,ج,ه,م,,,,,,,,,,,
رجو,ر,ج,و,ك,ك,,,م,,,م,,,,
رحب,ر,ح,ب,ك,ك,,,,,ل,ل,,,,
رحض,ر,ح,ض,م,م,,,ل,,,,,,,
رحل,ر,ح,ل,ك,م,م,,ك,,ل,ك,م,,,
رحم,ر,ح,م,,ك,,,,,ل,ل,ك,,,
رحو,ر,ح,و,,م,,,,,,ل,,,,
رخخ,ر,خ,خ,ك,,,,ل,,,,,,,
رخس,ر,خ,س,م,,,,,,,,,,,
رخش,ر,خ,ش,,,,,ل,,,ل,,,,
رخص,ر,خ,ص,ك,ك,,,م,,,ل,م,,,
رخف,ر,خ,ف,م,م,,,,,,,,,,
رخل,ر,خ,ل,,,,,,,,ل,,,,
رخم,ر,خ,م,ل,م,,,م,,,,,,,
رخو,ر,خ,و,ك,م,ك,,ل,,ل,,ل,,,
ردأ,ر,د,أ,ك,,,,,,ل,ل,,,,
ردح,ر,د,ح,م,م,,,,,,,,,,
ردد,ر,د,د,ل,م,م,,ك,,ك,ل,م,,,
ردس,ر,د,س,,,م,,,,,ل,,,,
ردع,ر,د,ع,,م,,,ل,,ل,ل,,,,
ردغ,ر,د,غ,ل,,,,ل,,,,,,,
ردف,ر,د,ف,ك,,ك,,ك,,ل,م,م,,,
ردم,ر,د,م,ك,ك,,,ل,,,ك,,,,
ردن,ر,د,ن,ك,م,,,ل,,,,,,,
رده,ر,د,ه,,ك,,,,,,,,,,
ردي,ر,د,ي,ك,م,ك,,ك,,ل,ك,,,,
رذذ,ر,ذ,ذ,ل,,,,,,,,,,,
رذل,ر,ذ,ل,ك,,,,,,,,م,,,
رذم,ر,ذ,م,ل,,,,,,,,,,,
رذو,ر,ذ,و,ك,,,,,,,,,,,
رزأ,ر,ز,أ,,م,,,ك,,م,,,,,
رزح,ر,ز,ح,م,م,,,,,ل,,,,,
